AuthorID,FirstName,LastName,Bio,DateOfBirth,DateOfDeath
1,Michael,Johnson,"Market analysis cultural impact voice. Mean rather particularly. Machine wind lead. Fill deep east. Church sometimes pattern.",1949-04-04,2015-06-19
2,Jennifer,Williams,"Himself kitchen clear. Director carry face. Actually system financial. Material staff serious.",1963-01-21,
3,David,Brown,"Evening consider itself. Every security technology. Magazine pattern important. Agency race activity.",1974-05-10,
4,Lisa,Davis,"Sit word box. Child myself ability. Sound argue population. Training central particularly.",1958-09-14,2020-11-03
5,Robert,Miller,"Herself buy able. Year radio consider. Form base ability. Agent author nearly.",1968-12-05,
6,Maria,Garcia,"Himself between. Tonight still. Speech father. Somebody test.",1952-07-18,
7,James,Martinez,"Evening bit. Industry really. Could sometimes. Film know.",1965-03-29,
8,Linda,Rodriguez,"Actually lead. Street hotel. Economy usually. Seven.",1971-11-12,
9,John,Wilson,"Himself cultural. Agent another. Perhaps. Strong.",1955-06-25,
10,Patricia,Anderson,"Somebody. Executive. Film. Development.",1969-02-08,
11,William,Taylor,"Herself. Represent. Sound. Truth.",1976-10-21,
12,Elizabeth,Thomas,"Market. Cultural. Voice. Mean.",1948-05-04,
13,Richard,Hernandez,"Kitchen. Clear. Director. Carry.",1962-12-17,
14,Barbara,Moore,"Consider. Itself. Every. Security.",1974-08-30,
15,Joseph,Martin,"Technology. Magazine. Pattern. Important.",1958-04-13,
16,Susan,Jackson,"Box. Child. Myself. Ability.",1968-11-26,
17,Thomas,White,"Population. Training. Central. Particularly.",1952-07-09,
18,Jessica,Lee,"Able. Year. Radio. Consider.",1965-02-20,
19,Charles,Perez,"Base. Ability. Agent. Author.",1971-10-03,
20,Sarah,Thompson,"Between. Tonight. Still. Speech.",1955-05-17,
21,Christopher,Harris,"Father. Somebody. Test. Evening.",1969-01-28,
22,Karen,Sanchez,"Bit. Industry. Really. Could.",1976-09-11,
23,Daniel,Clark,"Sometimes. Film. Know. Actually.",1948-04-24,
24,Nancy,Ramirez,"Lead. Street. Hotel. Economy.",1962-12-07,
25,Matthew,Scott,"Usually. Seven. Himself. Cultural.",1974-08-20,
26,Margaret,Young,"Another. Perhaps. Strong. Somebody.",1958-04-03,
27,Anthony,King,"Executive. Film. Development. Herself.",1968-11-16,
28,Betty,Green,"Represent. Sound. Truth. Market.",1952-06-29,
29,Mark,Adams,"Cultural. Voice. Mean. Rather.",1965-02-10,
30,Dorothy,Baker,"Particularly. Machine. Wind. Lead.",1971-09-23,
31,Donald,Nelson,"Fill. Deep. East. Church.",1955-05-06,
32,Sandra,Carter,"Sometimes. Pattern. Himself. Kitchen.",1969-01-17,
33,Paul,Mitchell,"Clear. Director. Carry. Face.",1976-08-30,
34,Ashley,Roberts,"Actually. System. Financial. Material.",1948-04-12,
35,Steven,Turner,"Staff. Serious. Evening. Consider.",1962-11-25,
36,Kimberly,Phillips,"Itself. Every. Security. Technology.",1974-07-08,
37,Kevin,Campbell,"Magazine. Pattern. Important. Agency.",1958-02-19,
38,Emily,Parker,"Race. Activity. Sit. Word.",1968-10-02,
39,Brian,Evans,"Box. Child. Myself. Ability.",1952-05-15,
40,Donna,Edwards,"Sound. Argue. Population. Training.",1965-01-26,
41,Ronald,Collins,"Central. Particularly. Herself. Buy.",1971-08-09,
42,Michelle,Stewart,"Able. Year. Radio. Consider.",1955-03-22,
43,George,Morris,"Form. Base. Ability. Agent.",1968-11-02,
44,Carol,Cooper,"Author. Nearly. Himself. Between.",1952-06-15,
45,Edward,Rogers,"Tonight. Still. Speech. Father.",1965-01-26,
46,Amanda,Peterson,"Somebody. Test. Evening. Bit.",1971-08-09,
47,Brian,Morgan,"Industry. Really. Could. Sometimes.",1955-03-22,
48,Ruth,Bell,"Film. Know. Actually. Lead.",1968-11-02,
49,Timothy,Murphy,"Street. Hotel. Economy. Usually.",1952-06-15,
50,Stephanie,Bailey,"Seven. Himself. Cultural. Agent.",1965-01-26,
